FAQ_제목,FAQ_내용,조회수,사용여부,등록일시
지원 신청서류를 제출하였는데 지원금은 언제부터 지급되나요?,지원금 지급은 접수된 서류심사가 완료된 날의 다음 달 말일부터 지원금이 신청하신 ,143,Y,2022-02-01 15:12
"자동차사고 피해로 공단지원을 받고 있는데, 지원금 연장신청은 어디로 하나요?","전국 14개 지역본부에서 연중 수시(휴일, 공휴일 제외) 상담과 연장접수를 진행하고 ",162,Y,2022-02-04 15:14
생활자금 무이자 대출 현황과 상환 현황은 어디에서 확인 가능한가요?,지원사업 홈페이지(http://kotsa.or.kr/tvsis)에서 회원가입 후 본인확인 절차를 거?,388,Y,2022-02-14 11:16
우리사랑안전적금 정부매칭금을 출금하려면 어떤 서류를 제출해야 하나요?,본인명의로 아래와 같은 출금사유가 발생한 경우 발생한 금액 내에서 출금이 가능합?,157,Y,2022-06-14 14:37
자동차사고 피해가족 지원대상자 결정되면 지원금 지급일은 언제인가요?,"재활보조금, 피부양보조금, 생활자금 대출은 지원결정 확정된 날이 속하는 달의 다음",124,Y,2022-02-02 15:13
생활자금 무이자 대출 상환을 위한 계좌변경은 어떻게 신청하나요?,대출상환 계좌 변경은 신청고객의 동의가 필요한 사항으로 지역본부 담당자 또는 본?,174,Y,2022-02-14 14:16
생활자금대출 보증인 변경 시 필요 서류는 어떻게 되나요?,생활자금 무이자 대출 중 보증인 변경 시 필요한 서류는 아래와 같습니다.<br>  1) ?,156,Y,2022-02-14 15:19
홈페이지에서 정서적·기타지원 참여를 위해 지원서를 작성하고 제출하였는데 별도 팝업이 표출되지 않고 정상적으로 접수처리 되지 않습니다.,"팝업이 표출되지 않으면 정상접수 처리 된 것이 아니며, 인터넷 주소창 우측 메뉴-호",50,Y,2022-06-14 14:45
자동차사고 피해가족 지원제도의 지원기간 만료 전에 안내를 받을 수 있나요?,지원만료일이 속한 달의 전월 20일까지 지원기간만료 안내문을 우편으로 사전에 안내,71,Y,2022-02-07 15:14
지원제도를 인지하지 못해 늦게 신청하여 지원받을 경우 소급지원 되나요?,지원금은 서류접수 후 지원결정이 속한 다음달 부터 매월 지급하도록 <br>자동차사고,92,Y,2022-02-10 15:16
생활자금 무이자 대출 상환유예 및 유예기간은?,"생활자금을 대출받은 자녀가 상환을 유예하는 증명서류를 제출할 경우, 대출금 상환?",340,Y,2022-02-14 15:19
우리사랑안전적금 정부매칭금은 어떤 경우에 출금할 수 있나요?,공단에서 지급한 자립지원금은 만 18세 이후 아래 경우에 한해 공단에 승인을 얻어 ?,164,Y,2022-06-14 14:32
자동차사고로 지원을 받을 수 있는 대상은 누구인가요?,"자동차사고로 사망하거나 중중후유장애(자배법 1~4급)가 있는 경우로써 
반드시 생활",497,Y,2022-01-26 12:49
자동차사고 피해가족 지원제도의 지원금 지원기간은 언제까지 인가요?,"재활보조금, 피부양보금, 장학금 지원기간은 1년이며, 생활자금 대출은 2년이고, <br",171,Y,2022-02-03 15:13
지원금 연장을 위해 매년 생활형편 서류를 제출하는데 생략방법은 없나요?,지원연장을 위해 행정정보공동이용 동의서와 개인정보활용 동의서를 제출하실 경우 ?,67,Y,2022-02-09 15:17
자동차사고 피해가족 지원제도로 지원받을 수 있는 지원금의 종류는 무엇이 있나요?,중증후유장애인은 매월 22만원의 재활보조금을 65세 이상 노부모에게는 매월 22만원?,292,Y,2022-01-27 12:49
자동차사고 피해가족 지원연장을 위해 공단에 제출하는 서류는 어떻게 되나요?,"지원연장은 서류 재심사를 통해 연장되며, <br>지원기간이 만료되는 달의 말일까지 ?",66,Y,2022-02-08 15:15
부모님이 이혼하여 친권을 상실하였는데 생활자금 대출약정을 변경해야 하나요?,"생활자금 무이자 대출을 신청한 법정대리인(친권자, 후견인)이 친권을 상실하였을 경",189,Y,2022-02-14 15:18
"온라인으로 재활보조금, 피부양보조금, 생활자금 대출 연장신청이 가능한가요?",지원사업 홈페이지(http://kotsa.or.kr/tvsis)에서 회원가입 후 본인확인 절차를 거?,157,Y,2022-02-06 15:17
자동차검사 수수료 감면 대상은 어떻게 되나요?,자동차사고 피해가족 지원사업과 관련한 공단 자동차검사소 수수료 감면 대상은 다음,127,Y,2022-06-14 14:39
생활자금 무이자 대출금 상환을 자동이체로 신청가능 한가요?,"생활자금 대출금 상환이 연체되지 않도록 가상계좌를 운영하고 있으며, <br>CMS 자동",202,Y,2022-02-14 15:17
자동차사고 피해가족 지원제도란 무엇인가요?,자동차사고로 사망하거나 중증후유장애로 인해 삶이 무너진 가정을 지원하기 위해 마,285,Y,2022-01-27 13:49
정서적 지원사업 연간 추진일정 추진일정은 어떻게 되나요?,2022년 한국교통안전공단 자동차사고 피해가족 정서적 지원사업 연간 추진일정입니다,72,Y,2022-06-14 14:38
피해자가족을 위한 기부하고 싶은데 방법은 어떻게 되나요?,저희 공단은 지정기부금 단체로 등록되어 있지 않아 직접적인 기부는 불가능합니다.?,137,Y,2022-06-14 14:38
올해 고등학교를 졸업하는데 유자녀 자립지원금은 언제 출금할 수 있나요?,"자립지원금은 만18세 이후 유자녀가 성년으로 성장하여 대학교등록금, 취업훈련비용,",118,Y,2022-02-14 15:15
지원금은 받다가 사망한 경우 공단에 신고해야 하나요?,지원금은 사고당사자 및 만18세 미만 자녀와 65세 이상 피부양 노부모에게 생계유지?,75,Y,2022-02-11 15:18
자동차사고 피해가족 지원제도 신청을 위한 증명서류는 어디에서 발급받나요?,"증명서류 발급기관은 경찰서와 손해보험사, 읍?면?동사무소 등으로 아래와 같습니다.",167,Y,2022-01-30 15:10
생활자금 무이자 대출 상환기한 상환방법은 어떻게 되나요?,대출금의 상환기간은 대출받은 자녀가 만 29세가 되는 날이 속한 달로부터 대출기간?,289,Y,2022-02-14 12:18
자동차사고 피해가족 지원제도를 수혜받기 위해 제출해야 하는 서류는 무엇이 있나요?,공통제출 서류는 지원신청서와 자동차사고로 인한 사망 또는 중증후유장애 증명서류?,180,Y,2022-01-29 11:49
